"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"45"	159.13319375	146.17665	132.5478875	122.750155625	146.17665	147.47005625	156.66743125	128.883725	116.43707	156.3697375	117.407770625	124.82475625	130.3530625	107.73292875	131.7060625	148.9996375
"46"	8533.9548125	8206.7991875	8841.2808125	7387.580625	8533.9548125	8281.319875	7503.9101875	7292.7860625	7208.9754375	7850.213875	7981.7815625	8691.5494375	7635.473125	7554.1711875	7252.7276875	8206.7991875
"47"	195.39208125	224.593825	228.6005875	214.15586875	229.72601875	216.38405625	191.9293375	209.49011875	208.8477375	211.96713125	222.7621625	225.50741875	236.6311375	194.621925	190.58995	199.3004
"48"	245.33624375	261.64070625	263.782	213.89248125	326.92825	259.14954375	223.09566875	196.7211125	219.51486875	254.45054375	219.74640625	253.69126875	202.5489125	242.64490625	224.593825	214.15586875
"49"	644.806	478.7528125	535.65039375	801.4206375	538.1796125	716.8693	481.8306	863.73875625	843.98115625	602.25084375	498.8462125	629.223775	643.465	504.49175	822.3869875	456.68218125
"50"	397.66949375	326.56675	366.484425	548.48103125	252.8335125	341.00106875	350.229725	417.2234125	507.21721875	344.40865625	598.59073125	365.9820875	381.7546375	653.4345875	520.3114625	268.901075
"51"	2447.0955625	2525.465875	2313.6804375	2464.29975	2306.1416875	2402.7708125	2430.84	2497.53025	2600.4274375	2430.84	2628.719375	2313.6804375	2678.58875	2572.861	2580.884875	2306.1416875
"52"	170.01290625	150.72463125	154.23275625	167.13000625	168.3459375	164.8850375	134.75548125	148.6809875	134.39951875	157.15743125	144.9579625	149.70696875	160.2114625	135.5569875	175.48856875	154.48109375
"53"	2071.640375	1860.34275	2093.566875	2028.84675	1978.5845	2001.049875	1925.6799375	2116.061	1845.4129375	2110.3773125	2021.0818125	2043.7664375	2100.3746875	2053.15375	1855.451125	1943.67725
"54"	157.802425	118.620211875	140.17050625	173.502075	180.9713125	165.4772625	145.61498125	133.50934375	182.20805625	167.0535875	127.5761	143.15913125	149.3734	171.461375	164.8850375	165.918225
"55"	5540.157875	5362.01975	4144.1603125	5288.407375	3483.050125	4748.7385	5600.8246875	4936.845125	4936.845125	4636.2321875	6445.3744375	5927.6655	5003.063125	5887.791375	5003.063125	4384.97975
"56"	479.4712875	484.68809375	422.75098125	392.7325	497.9789375	514.86799375	534.5202875	382.50433125	397.66949375	449.96924375	405.80139375	448.42835625	562.17145625	428.661775	372.7811625	433.77890625
"57"	1953.38625	2001.049875	1919.6910625	1763.4216875	2666.68975	1888.238875	2233.6755625	1914.332375	2021.0818125	2148.5715	2014.175375	1818.276375	2168.9874375	1911.2956875	2007.7546875	2100.3746875
"58"	248.014425	218.28376875	237.6757375	179.61989375	306.1110125	222.7621625	172.6993875	174.5427375	214.15586875	237.37525625	214.36930625	230.0771125	210.54176875	237.6757375	188.01433125	200.64881875
"59"	1574.7604375	1586.418	1767.8331875	1596.2876875	1855.451125	1767.8331875	1650.86125	1541.061375	1479.3739375	1457.4585625	1327.87746875	1417.8138	1327.87746875	1591.83025	1426.8622875	1566.85925
"60"	1154.1907	1185.4464625	1301.0963875	1136.0116625	1457.4585625	1180.49760625	1185.4464625	1057.79435625	1143.533925	1316.078075	1114.4197625	1139.4738625	1169.128475	1034.654875	1161.62505	1372.477475
"61"	376.12604375	393.43023125	386.78881875	374.361925	369.61275	451.13735	435.399175	374.361925	346.7416375	340.06691875	428.07701875	430.6895	526.267475	426.27049375	392.01801875	396.194025
"62"	892.84823125	1014.44056875	931.51870625	886.8674625	1074.04169375	960.39493125	1059.1648625	901.48970625	890.28370625	948.09728125	1187.68010625	914.0445625	985.20096875	1143.533925	903.620125	839.36059375
"63"	1551.817375	1223.48225	1465.7140625	1465.7140625	1882.1174375	1280.20860625	1061.0682125	1579.890875	1530.2699375	1449.071125	1169.128475	1055.956275	1249.78475625	1171.678425	1310.231325	1216.96630625
"64"	251.71234375	283.37756875	324.23106875	283.09960625	319.6187375	285.4098375	234.50075	324.23106875	254.74551875	255.05586875	251.47789375	271.55699375	269.5326625	296.85024375	332.523975	277.8905625
"65"	428.661775	491.09173125	451.13735	504.49175	343.9220625	496.9808	459.90990625	531.5510125	557.88569375	407.85483125	557.88569375	439.52813125	500.8118	568.4896	472.3322	424.30171875
"66"	326.92825	364.62209375	438.839125	421.49866875	340.06691875	337.19183125	300.08174375	425.26806875	353.11504375	376.7654625	403.261825	341.97876875	336.3130875	399.293025	399.293025	372.7811625
"67"	4605.41875	4126.849375	4311.0284375	4239.2055	4188.356625	4259.701	3676.9155	4840.020375	4334.92525	4582.96175	4018.713625	4510.4289375	3972.524	3651.112625	4605.41875	3651.112625
"68"	176.55216875	240.70950625	214.92056875	275.1277625	241.351675	174.90535	182.82895	212.4717125	292.10323125	197.73368125	262.86791875	226.35345625	183.61756875	293.71896875	330.72875625	181.4456625
"69"	202.28521875	222.43183125	260.87601875	254.45054375	225.8740625	241.610975	227.987	196.32628125	236.35453125	212.99615	201.9379625	196.4771875	200.95390625	240.97455	211.343175	234.21899375
"70"	191.42463125	188.2278625	206.9672125	176.18585625	166.05726875	159.22376875	170.614025	179.61989375	171.71356875	180.8365375	170.614025	148.6809875	187.403925	172.88245625	167.831675	165.0274
"71"	133.02090625	127.19045625	117.532234375	119.770178125	139.09355	120.730414375	98.429104375	119.4264475	124.97420625	103.56568875	123.83434375	107.052633125	136.41103125	113.08509375	109.3724025	120.82104875
"72"	458.6678125	480.2715625	501.93866875	531.5510125	411.54105625	464.593675	432.213725	511.18054375	513.1356	492.1765875	469.4392375	378.479	405.03375625	465.28708125	480.2715625	509.69905625
"73"	378.99255	379.81165	444.79020625	420.1724625	338.90738125	370.039325	336.71380625	506.51819375	373.78055	387.36044375	342.47463125	447.74035	298.82145	451.13735	369.0341875	384.48186875
"74"	582.436025	602.25084375	600.6751625	602.25084375	513.85839375	588.60095	592.97999375	551.052275	657.52461875	533.59955	680.46601875	620.268025	655.891075	666.357975	639.84575	573.2645625
"75"	250.27979375	223.7057875	224.593825	142.72339375	205.3079375	244.02444375	206.242775	191.9293375	162.78253125	208.13388125	183.18365	245.33624375	204.835225	177.17073125	195.70375	232.06069375
"76"	639.84575	612.81884375	557.88569375	739.61283125	587.4314875	630.5741	511.18054375	741.42873125	860.359175	646.492075	762.84096875	648.49014375	648.49014375	786.990775	631.472125	730.35885
"77"	820.997875	852.719575	759.85591875	796.9144	855.4687875	919.56631875	875.3014375	860.359175	762.84096875	693.16001875	773.078175	878.59154375	843.45686875	724.7033	632.67371875	746.5555
